"V1","V2"
56,114
56,117
56,131
56,134
56,135
56,156
56,159
56,233
57,3
57,28
57,38
57,159
57,169
57,178
57,210
57,222
58,48
58,49
58,135
58,194
58,240
58,242
59,73
59,105
60,38
60,62
60,80
60,83
60,98
60,104
60,126
60,136
60,160
60,179
60,195
60,207
60,208
60,222
60,233
60,243
61,36
61,41
63,39
63,166
63,223
64,9
64,24
64,32
64,43
64,55
64,85
64,126
64,129
64,138
64,142
64,145
64,154
64,158
64,189
64,193
64,218
64,224
64,235
65,59
65,75
65,105
66,19
66,111
66,113
67,41
67,84
67,87
67,107
67,169
67,222
69,2
69,37
69,42
69,124
69,131
69,134
69,146
69,174
69,224
70,1
70,30
70,62
70,124
71,230
73,70
73,167
73,223
74,26
74,39
74,170
76,12
76,69
76,81
76,97
76,100
76,122
76,128
76,152
76,216
76,218
76,224
77,24
77,162
77,181
77,213
77,239
79,26
79,139
79,219
79,241
80,41
80,57
80,60
80,84
80,98
80,179
80,195
80,207
81,4
81,17
81,102
81,124
81,174
81,231
81,240
81,242
82,42
82,69
82,85
82,141
83,24
83,43
83,61
83,160
83,181
83,184
83,191
83,239
84,34
84,41
84,60
84,87
84,98
84,184
84,210
84,225
84,247
85,12
85,18
85,120
85,148
85,154
85,165
85,174
87,84
87,107
87,171
87,198
87,204
87,222
87,247
88,89
88,185
88,197
89,28
89,56
89,111
89,114
89,149
89,178
89,210
89,212
89,215
89,221
89,247
92,97
92,169
93,148
93,225
94,42
94,123
94,147
96,132
96,139
96,195
96,241
97,12
97,23
97,62
97,66
97,76
97,113
97,116
97,122
97,128
97,155
97,171
97,206
97,224
97,227
98,60
98,80
98,83
98,181
98,207
99,10
99,29
99,56
99,88
99,89
99,102
99,159
99,188
100,1
100,4
100,42
100,76
100,116
100,124
100,128
100,146
100,170
100,174
100,189
101,12
101,28
101,30
101,97
101,113
101,128
101,202
102,10
102,76
102,81
104,5
104,195
104,207
105,121
105,161
105,172
106,89
106,93
106,111
106,169
106,241
110,6
110,183
110,213
111,89
111,99
111,185
111,190
111,197
111,210
111,212
111,231
112,50
112,159
112,176
112,236
113,26
113,30
113,40
113,41
113,42
113,56
113,66
113,92
113,97
113,101
113,128
113,143
113,146
114,56
114,58
114,159
114,235
115,41
115,247
116,46
116,143
116,148
116,151
117,1
117,4
117,7
117,21
117,36
117,40
117,42
117,48
117,64
117,69
117,82
117,124
117,141
117,143
117,154
117,189
117,190
117,240
117,246
118,149
118,164
118,226
119,40
119,46
119,138
119,154
119,248
120,46
120,47
120,85
120,125
120,148
120,165
120,174
122,1
122,17
122,152
123,39
123,117
124,2
124,30
124,46
124,50
124,81
124,82
124,102
124,122
124,128
124,174
125,38
125,92
125,120
125,156
125,186
125,208
125,233
125,235
126,24
126,32
126,85
126,116
126,148
126,220
128,7
128,76
128,97
128,101
128,112
128,113
128,171
128,174
128,236
129,24
129,64
129,138
129,173
129,248
130,161
130,176
131,35
131,42
131,55
131,56
131,122
131,134
131,146
131,174
134,56
134,69
134,117
134,131
135,27
135,56
135,131
135,174
135,209
136,32
136,46
136,94
136,125
136,199
138,119
138,129
138,248
139,26
139,79
139,145
139,188
139,219
139,228
139,241
143,1
143,112
143,117
143,128
143,148
143,162
145,123
145,139
145,150
145,164
145,215
145,219
145,226
145,228
145,240
145,241
146,26
146,73
146,113
146,125
146,224
147,112
147,113
147,123
147,221
148,41
148,46
148,120
148,124
148,125
148,154
148,165
148,210
148,213
148,220
149,20
149,42
149,47
149,131
149,150
149,164
149,215
149,219
149,226
151,47
151,72
151,120
152,50
152,133
152,221
154,24
154,36
154,46
154,64
154,74
154,85
154,119
154,124
154,158
154,165
154,207
155,30
155,113
155,140
156,40
156,56
156,117
156,119
156,128
156,138
156,174
156,230
156,232
157,15
157,25
157,120
157,235
158,9
158,24
158,45
158,64
158,119
158,154
158,193
158,248
159,8
159,28
159,56
159,57
159,89
159,178
159,200
159,212
159,243
161,105
161,172
162,3
162,32
162,46
162,64
162,66
164,118
164,149
164,221
165,55
165,85
165,120
165,148
165,177
165,213
165,218
165,223
166,63
166,105
167,73
167,211
167,217
167,223
168,94
169,21
169,28
169,57
169,86
169,150
169,210
169,214
170,21
170,39
170,74
170,139
170,164
170,192
172,37
172,105
172,161
172,222
173,60
173,136
173,208
173,213
173,246
174,18
174,39
174,42
174,46
174,52
174,69
174,76
174,85
174,120
174,123
174,124
174,128
174,139
174,171
174,206
174,209
174,216
174,220
175,47
175,120
175,123
175,134
175,206
175,222
176,56
176,102
176,236
176,240
177,60
177,80
177,126
177,165
177,218
178,3
178,15
178,38
178,48
178,57
178,88
178,89
178,197
178,210
179,57
179,80
179,83
179,98
179,181
179,193
179,195
181,24
181,38
181,71
181,77
181,83
181,98
181,126
181,174
181,177
181,208
181,213
181,222
184,60
184,68
184,83
184,160
184,208
184,239
185,15
185,134
185,197
185,243
186,38
186,83
186,153
186,198
186,213
186,225
186,233
186,239
187,18
187,32
187,80
189,2
189,7
189,36
189,46
189,97
189,100
189,117
189,146
189,218
189,224
189,246
190,4
190,81
190,92
190,131
190,209
190,240
190,242
191,38
191,181
191,186
192,11
192,139
193,60
193,64
193,80
193,158
193,202
193,207
194,49
194,58
194,111
194,164
194,205
195,38
195,98
195,104
195,132
195,165
195,179
195,213
196,63
196,247
197,8
197,10
197,48
197,58
197,88
197,99
197,111
197,127
197,135
197,185
197,194
197,212
197,223
197,242
198,35
198,38
198,115
198,165
198,208
198,213
198,247
199,40
200,28
200,91
200,133
200,172
200,210
201,108
201,149
201,227
202,49
202,58
202,114
202,190
203,22
203,164
203,184
203,232
206,12
206,74
206,97
206,201
206,227
207,38
207,41
207,60
207,80
207,83
207,104
207,148
207,195
208,158
208,160
208,165
208,181
208,184
208,198
208,233
209,76
209,122
209,152
209,190
209,224
209,242
210,28
210,54
210,57
210,169
210,178
210,197
210,220
210,232
211,33
211,65
211,126
211,166
211,223
212,8
212,29
212,89
212,99
212,197
213,38
213,60
213,71
213,77
213,120
213,162
213,165
213,181
213,186
213,195
213,233
215,20
215,25
215,149
215,150
215,164
215,242
216,165
217,206
217,234
218,19
218,55
218,81
218,165
218,177
219,26
219,79
219,139
219,226
219,235
220,32
220,148
220,207
220,248
222,16
222,62
222,84
222,87
222,115
222,181
222,198
222,204
222,208
223,5
223,33
223,37
223,63
223,73
223,166
223,167
223,211
224,46
224,47
224,52
224,76
224,97
224,152
224,155
224,171
224,186
224,189
224,209
224,226
224,235
225,41
225,53
225,56
225,84
225,124
225,186
225,239
226,47
226,118
226,149
226,228
227,108
227,192
227,203
228,23
228,26
228,69
228,82
228,139
228,149
228,185
228,188
228,215
229,7
229,48
229,152
229,176
229,209
230,89
230,111
230,211
230,222
230,247
231,159
231,212
231,243
232,6
232,13
232,225
232,231
232,238
232,246
233,98
233,186
235,25
235,120
235,125
235,157
236,4
236,42
236,76
236,112
236,128
236,176
236,240
237,77
237,103
237,213
237,230
239,60
239,83
239,104
239,156
239,184
239,186
239,198
239,225
239,233
240,42
240,81
240,100
240,102
240,117
240,190
240,195
240,236
240,242
241,35
241,131
242,2
242,30
242,58
242,124
242,190
242,209
242,240
243,89
243,164
245,87
245,215
247,41
247,62
247,84
247,87
247,93
247,98
247,115
247,148
247,173
247,198
247,207
247,208
247,222
247,224
248,2
248,9
248,32
248,46
248,119
248,138
248,220
