"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"female","31","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","very good"
"male","66","4","male","once a week","female","once a week","female","once a week","female","once a week",NA,NA,"especially close","especially close","especially close",NA,"know each other","especially close",NA,"especially close",NA,NA,NA,NA
"male","30","3","female","almost daily","female","once a week","male","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"male","29","3","female","once a week","male","once a month","male","lt once a month",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"7",NA
"female","60","4","female","almost daily","female","almost daily","female","almost daily","female","almost daily",NA,NA,"especially close","especially close","total strangers",NA,"especially close","especially close",NA,"especially close",NA,NA,NA,NA
"female","34","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","72","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","55","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"male","49","1","male","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poor"
"male","27","3","male","once a month","female","almost daily","female","once a week",NA,NA,NA,NA,"know each other","total strangers",NA,NA,"especially close",NA,NA,NA,NA,NA,"0","excellent"
"female","63","3","female","once a week","female","once a week","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,"4","very good"
"male","50","6","male","almost daily","female","almost daily","male","almost daily","male","once a month","male","once a week","especially close","know each other","know each other","know each other","know each other","know each other","know each other","total strangers","total strangers","total strangers","0",NA
"female","35","6","male","almost daily","female","once a week","male","once a week","female","almost daily","male","once a week","especially close","especially close","especially close","especially close","especially close","know each other","especially close","especially close","especially close","especially close",NA,NA
"male","70","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","43","3","female","almost daily","male","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"male","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","good"
"female","65","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","52","2","female","almost daily","male","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","65","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good"
"female","81","4","female","almost daily","male","once a week","female","once a week","male","once a week",NA,NA,"know each other","know each other","know each other",NA,"especially close","total strangers",NA,"total strangers",NA,NA,NA,"poor"
"male","18","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","28","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
"female","41","1","female","lt once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","28","3","female","almost daily","male","almost daily","female","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,NA,"very good"
"male","23","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","24","4","male","once a week","female","almost daily","male","once a week","female","once a month",NA,NA,"total strangers","know each other","know each other",NA,"know each other","know each other",NA,"especially close",NA,NA,NA,"excellent"
"female","72","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","61","3","female","once a week","female","once a week","female","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"female","21","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","49","1","male","lt once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"female","38","1","male","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","good"
"female","19","4","male","almost daily","male","almost daily","female","almost daily","female","almost daily",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,"0","good"
"male","32","5","male","once a week","female","once a week","male","almost daily","female","almost daily","female","almost daily","especially close","know each other","know each other","especially close","know each other","especially close","especially close","especially close","especially close","especially close","0",NA
"female","54","2","female","lt once a month","male","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poor"
"female","25","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"female","23","4","male","almost daily","male","once a week","male","almost daily","female","once a week",NA,NA,"especially close","especially close","know each other",NA,"especially close","know each other",NA,"know each other",NA,NA,"3",NA
"male","74","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","39","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","good"
"female","24","3","female","once a month","female","once a week","female","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"0",NA
"male","46","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","57","3","female","almost daily","female","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"0",NA
"female","34","5","male","almost daily","female","almost daily","female","almost daily","male","almost daily","female","almost daily","especially close","especially close","especially close","know each other","especially close","especially close","know each other","especially close","especially close","know each other",NA,"good"
"female","50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","good"
"female","60","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","43","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"male","40","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","70","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","79","5","female","once a week","female","almost daily","male","once a week","female","once a week","female","almost daily","especially close","especially close","especially close","total strangers","especially close","especially close","especially close","know each other","know each other","total strangers",NA,NA
"male","48","3","female","once a week","male","once a week","male","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"0","very good"
"female","21","6","male","almost daily","male","almost daily","male","almost daily","male","almost daily","female","almost daily","especially close","especially close","especially close","especially close","especially close","especially close","especially close","especially close","especially close","especially close","1",NA
"male","60","3","male","lt once a month","male","lt once a month","male","almost daily",NA,NA,NA,NA,"especially close","total strangers",NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,"good"
"female","21","3","male","almost daily","female","almost daily","female","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"25",NA
"female","68","3","female","almost daily","female","once a month","female","once a month",NA,NA,NA,NA,"know each other","total strangers",NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA
"female","39","3","male","almost daily","female","once a week","female","once a month",NA,NA,NA,NA,"total strangers","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"1","good"
"male","44","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","very good"
"female","89 or older","2","female","once a week","female","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fair"
"female","55","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"female","64","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","fair"
"female","32","4","male","almost daily","female","almost daily","female","once a week","female","almost daily",NA,NA,"know each other","know each other","know each other",NA,"total strangers","know each other",NA,"total strangers",NA,NA,NA,NA
"female","36","3","female","almost daily","male","once a week","male","almost daily",NA,NA,NA,NA,"know each other","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"5",NA
"male","80","4","female","almost daily","female","once a week","female","once a week","female","once a week",NA,NA,"especially close","especially close","especially close",NA,"especially close","know each other",NA,"especially close",NA,NA,NA,NA
"female","71","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","57","2","male","almost daily","female","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","21","5","male","almost daily","female","once a week","female","once a week","female","once a week","female","once a week","know each other","know each other","know each other","especially close","know each other","know each other","especially close","especially close","know each other","know each other",NA,"very good"
"female","38","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","25","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","30","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","good"
"female","73","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good"
"male","44","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","59","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","good"
"male","32","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"male","52","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","47","4","male","almost daily","male","almost daily","male","once a week","male","once a week",NA,NA,"know each other","know each other","know each other",NA,"especially close","know each other",NA,"know each other",NA,NA,"0","fair"
"female","86","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","45","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","23","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","43","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"female","30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","very good"
"male","50","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fair"
"male","75","3","male","almost daily","male","almost daily","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA
"female","36","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","43","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","26","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","34","4","female","almost daily","male","once a week","female","once a month","male","almost daily",NA,NA,"especially close","know each other","know each other",NA,"especially close","total strangers",NA,"total strangers",NA,NA,"30","very good"
"male","28","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"female","50","3","male","almost daily","female","almost daily","female","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"15",NA
"male","20","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","very good"
"female","26","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"male","51","1","female","once a month",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","64","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","26","3","male","almost daily","female","once a month","female","once a week",NA,NA,NA,NA,"know each other","especially close",NA,NA,"total strangers",NA,NA,NA,NA,NA,"2",NA
"female","81","2","female","almost daily","female","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","83","1","male","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fair"
"female","25","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","good"
"female","45","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","48","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","23","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","71","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","50","2","female","almost daily","male","once a month",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"male","31","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"male","47","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excellent"
"male","47","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","good"
"female","67","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","77","4","male","once a week","female","almost daily","female","once a week","male","once a month",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,NA,"excellent"
"male","38","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","32","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","44","3","female","almost daily","female","once a week","female","once a week",NA,NA,NA,NA,"total strangers","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"0",NA
"female","62","5","male","almost daily","female","once a week","male","once a week","female","lt once a month","female","lt once a month","especially close","especially close","especially close","know each other","especially close","especially close","especially close","know each other","know each other","especially close","4","excellent"
"male","49","3","male","lt once a month","male","almost daily","male","lt once a month",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA
"male","58","3","female","almost daily","male","almost daily","male","once a week",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,"very good"
"male","27","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"female","35","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","53","5","female","almost daily","female","once a week","male","once a week","female","once a week","male","once a month","especially close","especially close","know each other","know each other","know each other","know each other","know each other","know each other","know each other","especially close","0",NA
"female","78","4","female","lt once a month","male","lt once a month","male","lt once a month","female","once a month",NA,NA,"know each other","know each other","know each other",NA,"know each other","know each other",NA,"know each other",NA,NA,NA,NA
"female","58","5","male","almost daily","female","once a week","female","once a week","female","once a week","female","lt once a month","know each other","know each other","know each other","total strangers","know each other","especially close","especially close","know each other","total strangers","know each other","2","very good"
"male","45","6","female","almost daily","male","once a month","male","once a week","female","once a week","female","once a week","especially close","especially close","especially close","especially close","know each other","know each other","know each other","especially close","especially close","especially close","5",NA
"male","43","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very good"
"female","42","5","female","almost daily","female","once a week","female","once a month","female","almost daily","female","once a week","especially close","especially close","know each other","total strangers","know each other","know each other","total strangers","know each other","total strangers","total strangers","1","very good"
"female","40","4","female","once a week","female","once a month","female","once a week","male","almost daily",NA,NA,"total strangers","total strangers","especially close",NA,"total strangers","especially close",NA,"especially close",NA,NA,NA,"fair"
"female","21","3","male","almost daily","female","once a week","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"especially close",NA,NA,NA,NA,NA,"3",NA
"female","28","4","male","almost daily","female","almost daily","female","once a week","male","once a month",NA,NA,"know each other","know each other","know each other",NA,"especially close","especially close",NA,"know each other",NA,NA,"10",NA
"female","75","5","female","almost daily","female","once a week","female","almost daily","female","once a week","female","once a month","especially close","especially close","especially close","know each other","especially close","especially close","know each other","total strangers","total strangers","total strangers",NA,NA
"male","30","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"male","40","2","female","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","48","6","female","almost daily","female","almost daily","female","almost daily","male","once a week","female","once a week","know each other","know each other","know each other","especially close","know each other","total strangers",".a","total strangers","total strangers","know each other","0",NA
"female","28","4","female","almost daily","male","once a week","female","almost daily","female","once a week",NA,NA,"know each other","total strangers","total strangers",NA,"know each other","know each other",NA,"especially close",NA,NA,"1","excellent"
"female","28","1","female","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"female","56","4","female","once a month","female","once a month","female","once a week","female","once a week",NA,NA,"total strangers","know each other","total strangers",NA,"know each other","know each other",NA,"know each other",NA,NA,"14","excellent"
"male","51","6","male","once a week","male","once a month","male","once a week","male","once a month","female","once a week","total strangers","total strangers","total strangers","total strangers","total strangers","total strangers","total strangers","total strangers","total strangers","know each other","0",NA
"female","63","3","male","almost daily","female","once a week","female","almost daily",NA,NA,NA,NA,"know each other","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"7",NA
"male","71","1",".a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","27","3","male","almost daily","female","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,"5",NA
"female","27","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","39","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","43","3","female","almost daily","male","once a week","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"0","excellent"
"female","50","4","female","lt once a month","female","almost daily","male","once a week","male","once a week",NA,NA,"know each other","especially close","especially close",NA,"know each other","know each other",NA,"especially close",NA,NA,"15",NA
"male","23","4","female","almost daily","female","almost daily","male","lt once a month","male","almost daily",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"know each other",NA,NA,"0","excellent"
"male","76","2","female","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good"
"female","49","6","male","almost daily","female","almost daily","female","once a month","female","once a week","male","once a month","know each other","know each other","total strangers","total strangers","total strangers","total strangers","total strangers","total strangers","total strangers","total strangers","14",NA
"male","31","5","male","almost daily","female","almost daily","female","once a week","male","once a week","male","once a month","know each other","total strangers","total strangers","total strangers","know each other","know each other","know each other","especially close","total strangers","total strangers","29","very good"
"male","51","5","female","almost daily","female","once a month","female","almost daily","male","lt once a month","male","once a week","know each other","know each other","know each other","know each other","especially close","especially close","know each other","especially close","know each other","know each other","2",NA
"male","23","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","27","5","female","almost daily","male","once a week","male","once a month","male","once a month","female","once a month","especially close","know each other","especially close","especially close","total strangers","especially close","especially close","total strangers","total strangers","especially close","16",NA
"female","30","4","male","almost daily","female","once a week","male","once a week","female","once a week",NA,NA,"know each other","know each other","know each other",NA,"especially close","especially close",NA,"total strangers",NA,NA,NA,NA
"female","55","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","40","4","male","almost daily","female","almost daily","female","almost daily","male","almost daily",NA,NA,"especially close","especially close","know each other",NA,"know each other","know each other",NA,"especially close",NA,NA,NA,"fair"
"female","49","6","male","almost daily","female","once a week","female","almost daily","male","lt once a month","female","almost daily","total strangers","know each other","know each other","know each other","total strangers","total strangers","total strangers","especially close","know each other","know each other","16",NA
"female","38","5","male","almost daily","female","almost daily","male","once a week","female","lt once a month","female","once a month","especially close","especially close","know each other","know each other","know each other","know each other","know each other","total strangers","total strangers","know each other",NA,"very good"
"female","33","4","male","almost daily","male","almost daily","female","almost daily","female","almost daily",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,"3","very good"
"female","60","3","male","almost daily","female","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"female","33","3","male","almost daily","female","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"male","48","2","male","once a month","female","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA
"female","36","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","36","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","very good"
"female","47","5","female","once a week","female","almost daily","female","almost daily","female","almost daily","female","once a week","know each other","know each other","total strangers","especially close","especially close","especially close","total strangers","especially close","total strangers","total strangers","2",NA
"female","27","4","male","almost daily","male","once a week","male","once a week","female","once a week",NA,NA,"know each other","total strangers","especially close",NA,"especially close","total strangers",NA,"total strangers",NA,NA,"5","very good"
"female","27","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","good"
"female","62","5","male","once a month","male","once a month","male","once a month","male","almost daily","male","almost daily","especially close","especially close","total strangers","especially close","especially close","total strangers","especially close","total strangers","especially close","especially close",NA,NA
"male","52","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","61","4","male","almost daily","female","almost daily","female","almost daily","female","once a week",NA,NA,"especially close","especially close","especially close",NA,"especially close","especially close",NA,"especially close",NA,NA,NA,NA
"female","35","3","male","once a week","male","once a week","female","almost daily",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"0",NA
"male","29","2","female","almost daily","male","once a week",NA,NA,NA,NA,NA,NA,"know each other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","good"
"female","57","4","male","almost daily","male","once a week","female","almost daily","male","once a month",NA,NA,"especially close","especially close","know each other",NA,"especially close","know each other",NA,"know each other",NA,NA,"0","excellent"
"male","23","2","male","once a month","male","lt once a month",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","68","3","male","once a week","female","once a week","male","once a week",NA,NA,NA,NA,"especially close","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"10",NA
"male","43","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","74","2","female","once a week","female","once a week",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","59","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","56","4","male","almost daily","female","almost daily","female","once a week","female","once a week",NA,NA,"especially close","know each other","know each other",NA,"know each other","know each other",NA,"especially close",NA,NA,NA,NA
"male","51","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","46","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","excellent"
"male","59","1","male","once a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"male","36","1",".a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","21","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"female","24","4","male","almost daily","female","once a week","male","once a month","female","almost daily",NA,NA,"especially close","especially close","know each other",NA,"especially close","total strangers",NA,"total strangers",NA,NA,"4","excellent"
"female","27","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very good"
